"CPI Non-standard All Groups Less/Plus Selected Groupings for New Zealand (Qrtly-Mar/Jun/Sep/Dec)","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","All groups less credit services subgroup","All groups less central and local government charges","All groups plus interest","All groups less food group","All groups less alcoholic beverages and tobacco group","All groups less clothing and footwear group","All groups less housing and household utilities group","All groups less household contents and services group","All groups less health group","All groups less transport group","All groups less communication group","All groups less recreation and culture group","All groups less education group","All groups less miscellaneous goods and services group","All groups less housing and household utilities group and credit services subgroup","All groups less purchasing of new housing class","All groups less household energy subgroup and vehicles fuels","All groups less vehicle fuels","All groups less food group and vehicle fuels","All groups less petrol class","All groups less food group, household energy subgroup and vehicle fuels","All groups less International travel","All groups less alcoholic beverages subgroup","All groups less cigarettes and tobacco subgroup","All groups less rentals for housing subgroup","All groups less food group, household energy subgroup, vehicle fuels, & government charges"
"2003Q4",752.107524,769.563553,791.924680,759.458713,768.429215,743.134087,803.770351,742.534302,756.955810,744.019139,738.782051,729.729730,756.955810,756.955810,803.082192,768.976898,772.950820,762.175325,770.816158,761.982128,784.461153,749.797571,751.628664,769.358868,755.937756,796.954315
"2004Q1",755.489303,772.336755,795.537475,762.876619,771.220965,747.172859,805.484147,746.569814,759.410802,749.601276,741.987179,732.909380,759.410802,759.410802,804.794521,770.627063,775.409836,764.610390,772.464963,763.606824,786.131997,754.655870,754.885993,772.689425,759.213759,797.800338
"2004Q2",760.900148,777.883159,802.040506,769.028850,777.502403,752.827141,809.768638,752.219532,765.957447,753.588517,747.596154,740.063593,765.957447,765.139116,809.075342,776.402640,778.688525,768.668831,777.411377,768.480910,790.309106,760.323887,760.586319,778.517902,764.946765,802.030457
"2004Q3",765.634638,782.736263,808.543537,775.181080,780.992090,757.673667,813.196230,757.869249,770.049100,758.373206,752.403846,744.833068,770.049100,770.049100,812.500000,779.702970,782.786885,773.538961,783.182193,772.542648,796.157059,763.562753,763.843648,783.513739,769.860770,807.952623
"2004Q4",773.074550,788.975968,817.214246,782.700474,788.669403,764.943457,818.337618,764.326069,777.414075,763.955343,759.615385,751.987281,777.414075,777.414075,818.493151,786.303630,789.344262,780.844156,791.426216,780.666125,803.675856,768.421053,771.172638,790.174854,777.231777,815.566836
"2005Q1",776.456329,791.749169,821.549600,785.434799,791.461153,768.982229,820.908312,767.554479,780.687398,770.334928,763.621795,755.166932,779.869067,780.687398,820.205479,788.778878,793.442623,784.090909,793.899423,783.915516,806.182122,774.898785,775.244300,793.505412,780.507781,818.104907
"2005Q2",783.219886,798.682174,828.775190,793.637773,799.138466,775.444265,826.049700,774.818402,787.234043,775.917065,770.032051,762.321145,787.234043,786.415712,825.342466,794.554455,797.540984,788.961039,800.494641,788.789602,812.030075,781.376518,781.758958,800.166528,787.059787,824.027073
"2005Q3",792.012510,807.001780,838.168457,804.575072,808.211654,785.137318,834.618680,783.696529,796.235679,780.701754,778.846154,771.860095,796.235679,795.417349,833.904110,803.630363,803.278689,794.642857,806.265458,794.476036,817.878028,788.663968,790.716612,810.158201,796.068796,829.103215
"2005Q4",797.423355,812.548184,843.948929,810.043722,814.493092,790.791599,839.760069,789.346247,801.963993,785.486443,785.256410,777.424483,801.963993,801.145663,839.041096,808.580858,809.836066,801.136364,813.685078,800.974817,826.232247,792.712551,797.231270,815.986678,801.801802,836.717428
"2006Q1",801.481489,816.707988,849.006843,814.145209,819.378654,794.830372,843.187661,794.188862,806.055646,791.866029,789.262821,782.193959,806.055646,805.237316,842.465753,812.706271,812.295082,804.383117,816.158285,804.224208,827.067669,799.190283,801.302932,820.149875,806.715807,837.563452
